Abandon         ebandın	          TERK ETMEK
Ability         ebılıti	          yetenek, beceri
Able            eybıl             muktedir
Aboard          ebord             (bir taşıtın)İÇİNDE OLMAK
About           ebaut             1.HAKKINDA 2.YAKLAŞIK OLARAK
Above           ebav              yukarıdaki
Below           bilov             aşağıdaki             
Abroad          ebrod             YURT DIŞI
Absence         ebsıns	          YOKLUK
Absent          ebsınt	          1.YOK 2.EKSİK
Absolute        ebsolut	          MUTLAK, KESİN
Absurd          ebzörd	          SAÇMA
Accept          eksept	          kabul etmek
Acceptance      ekseptıns         kabul
Accident        eksidınt          kaza
Accommodate     ekomodeyt         YERLEŞTİRMEK
Accommodation   ekomıdeyşın       KONAKLAMA YERİ
Accompany       ekampıni          EŞLİK ETMEK
According To    ekording tu       -E GÖRE
Account         ekaunt            hesap
Accurate        ekürıt	          DOĞRU, HATASIZ
Accuse          ekküz             SUÇLAMAK
Ache            eyk               ağrı
Headache        hedeyk            baş ağrısı
Acquaint        ekueynt	          TANIMAK,BİLMEK
Across          ekros             1.BİR UÇTAN DİĞERİNE  2.DİĞER TARAFTA
Act             ekt               davranmak, davranış
Active          ektiv             etkin, faal, aktif
Reactive        reektiv           durum sonrasına faal olan
Proactive       proektiv          durum öncesinde faal olan, hazırlıklı, önlem almış
Actor           ektır             erkek oyuncu
Actress         ektrıs            kadın oyuncu
Actual          ekçuıl            GERÇEK
Actually        ekçuıli           aslında
Add             ed                TOPLAMAK,EKLEMEK
Address         edres             ADRES
Administration  edminıstreyşın    İDARE
Admire          edmayr            BEĞENMEK,HAYRAN OLMAK
Admit           edmit             1.KABUL ETMEK  2.İZİN VERMEK
Admission       edmişın           kabul (okul vs)
Adult           edalt             yetişkin
Advance         edvens            1.İLERİ 2.AVANS
Advanced        edvensd           GELİŞMİŞ
Advantage       edventıc          AVANTAJ
Adventure       edvençur          MACERA
Advertise       edvırtayz         REKLAM YAPMAK, İLAN VERMEK
Advice          edvays            tavsiye
Advise          edvayz            TAVSİYE ETMEK
Aerial          eriyıl            anten
Aero-plane      eıropleyn         uçak
Affair          effeyır           1.OLAY 2.İŞ 3.İLİŞKİ
Affect          efekt             etkilemek
Effect          efekt             etki
Influence       inflüıns          etkilemek
Afford          eford             SATIN ALMA GÜCÜ OLMAK
Afraid          efreid            KORKMAK
Ago             ego               önce
Later           letır             sonra, daha geç
After           aftır             -den sonra
Before          bifor             -den önce
Afternoon       aftırnuun         ÖĞLEDEN SONRA
Afterwards      aftırvördz        (bir olaydan) SONRA
Again           egein             BİR DAHA;YİNE
Against         egeinst           KARŞI, ZIT
Age             eyc               1.YAŞ 2.ÇAĞ
Aged            eycd              YAŞINDA
Agency          eycınsi           ACENTE
Agent           eycınt            TEMSİLCİ, ARACI
Aggressive      egresiv           SALDIRGAN, KAVGACI
Agree           egrii             ANLAŞMAK
Agreement       egriimınt         ANLAŞMA
Agriculture     egrikalçır        TARIM
Ahead           ehed              ÖNDE
Aid             eyd               YARDIM
Aim             eym               1.AMAÇ 2.HEDEF ALMAK
Air             eyr               1.HAVA 2.HAVALANDIRMA
Alarm           alarm             ALARM
Algebra         alcebra           CEBİR
Alike           elaık             HEMEN HEMEN AYNI, BENZER, AYNI YOLDA
Alive           elaıv             YAŞAMAK,CANLI
All             ol                1.HEP 2.TÜM 3.HER
All Right       ol rayt           1.TAMAM 2.EVET
Alliance        elayıns           BAĞLAŞMA, BİRLİK, MÜTAREKE
Alligator       aligeytır         TİMSAH
