
A2.28. Konjunktion – Nebensatz


Subordinating Conjunctions
weil      because
dass      that
damit     so that
so dass   so that
wenn      when/if
bevor     before
falls     in case
seitdem   since then
was       what
wie viel  how much
als ob    as if
als       when (past)
bis       until
indem     in which
sobald    as soon as
soweit    as far as
sooft     as often as
während   while
wo        where
wie       how
wie lange how long
obwohl    although
ob        if
als wenn  as when
ehe       before
nachdem   after which
solange   as long as
soviel    as much as
warum     why
woher     where from
wie oft   how often
weshalb   why/for/what reason

