                     делаю  I do
                     делал  I was doing
                    сделаю  I will do
                    сделал  I did, I have done
               буду делать  I will be doing
              могу сделать  I can do
            мог бы сделать  I could/might do
         мне нужно сделать  I need to do
    мне нужно было сделать  I needed to do

            хочешь сделать  you want to do
    хочешь, чтобы я сделал  you want me to do
          бы хотел сделать  I would want to do
             хотел сделать  I wanted to do
            захочу сделать  I will want to do
собираюсь захотеть сделать  I am going to want to do

           стараюсь делать  I try to do
           пытался сделать  I tried to do 
        предпочитаю делать  I prefer doing
      бы предпочел сделать  I would prefer to do
бы лучше сделал, чем пошел  I would rather do than go  
мне было бы лучше заняться  I had better doing
       уже давно занимаюсь  I have been doing
        занимался тем, что  I had been doing
         собираюсь сделать  I am going to do
        собираюсь заняться  I am going to be doing
      придется это сделать  I will/going to have to do
                 бы сделал  I would do
                  бы делал  I would have been doing
           бы так и сделал  I would have done
      раньше я так и делал  I used to do
   раньше я мог это делать  I used to be able to do
             привык делать  I am used to doing/I was used to doing/I got used to doing
  начинаю привыкать делать  I am getting used to doing  
            должен сделать  I must/have to/supposed to/should do
    должно быть, занимаюсь  I must be doing  
       должно быть, сделал  I must have done
        должно быть, делал  I must have been doing
        должен был сделать  I had to/should have been do
     должен был бы сделать  I would have to do
 не возражаешь (возражать)  would/do you mind?



